N,e,local_propose,local_accept,local_R,local_time,multipole_propose,multipole_accept,multipole_R,multipole_time
10000,64.6330407009565,8.910655975341797e-05,0.00034709739685058596,3,2.4239325523376465,0.000300349235534668,0.00013254308700561525,3,1.265958309173584
12689,69.97298277103957,7.34875202178955e-05,0.0004494144916534424,4,2.117145299911499,0.00031659984588623045,0.0001443972587585449,3,1.6613481044769287
16102,75.75556277156308,7.818388938903809e-05,0.00045136356353759764,4,2.6985654830932617,0.00033199429512023923,0.0001604115962982178,3,2.199944019317627
20433,82.01600916853565,8.628225326538086e-05,0.0004574131965637207,4,3.4674320220947266,0.00035429906845092774,0.0001788172721862793,3,2.9280662536621094
25929,88.79390937043094,9.904694557189941e-05,0.00046157050132751467,4,4.455115079879761,0.0003928980827331543,0.0002085285186767578,3,4.011598587036133
32903,96.13165530164527,0.00011260700225830078,0.00046761703491210937,4,5.793097496032715,0.0004501190185546875,0.00011844635009765625,4,5.697864770889282
41753,104.07597382552271,0.00013074469566345216,0.00047435402870178224,4,7.605367422103882,0.00046683716773986817,0.00012484025955200197,4,7.475660800933838
52983,112.67652287446205,0.00015248656272888185,0.00048098516464233396,4,10.152764797210693,0.0004840157032012939,0.00013718366622924804,4,9.975442171096802
67233,121.98752447904248,0.00018190908432006835,0.0004987885951995849,4,13.839369773864746,0.0005127391815185546,0.00014739799499511718,4,13.64522910118103
85316,132.06814663058762,0.0002186284065246582,0.0005116722583770752,4,19.25347876548767,0.000550368070602417,0.00016050934791564942,4,19.02689814567566
108263,142.98196913512925,0.00012827014923095704,0.0005930402278900147,5,26.395820379257202,0.000590824842453003,0.00018285489082336425,4,27.085573196411133
137382,154.7977104402667,0.0001471116542816162,0.0006002266407012939,5,34.663363218307495,0.0006627328395843506,0.00020865631103515625,4,39.16823077201843
174332,167.5895592936327,0.00016397762298583986,0.0006169135570526123,5,45.82847857475281,0.0007365024089813232,0.0002429039478302002,4,57.167871713638306
221221,181.43874717437893,0.00018611717224121093,0.0006245660781860351,5,61.079115867614746,0.0008368923664093018,0.0002888703346252441,4,84.77637791633606
280721,196.43229413802612,0.0002098517417907715,0.0006377687454223633,5,82.64517974853516,0.000661576509475708,0.00017010974884033202,5,83.0627760887146
356224,212.6648170006915,0.0002482597827911377,0.000668823480606079,5,113.12751770019531,0.0006990785598754883,0.00019246983528137208,5,113.67428588867188
452035,230.23885080073825,0.0002916088104248047,0.0006974711418151855,5,156.0808506011963,0.0007422678470611572,0.00022451400756835936,5,156.61435985565186
573615,249.2650682852571,0.0003578035831451416,0.0007414536476135254,5,218.40558075904846,0.0008148059844970703,0.0002704606056213379,5,219.40560936927795
727895,269.86351126159275,0.0004385576248168945,0.0007984194755554199,5,311.4711229801178,0.0008958899974822999,0.0003233499526977539,5,312.83575081825256
923670,292.1641114758984,0.0002458786964416504,0.0008800113201141357,6,336.9210932254791,0.0011200854778289796,0.0003963165283203125,5,465.5416669845581
1172102,316.30767048592065,0.0002808990478515625,0.0009238994121551513,6,444.48619198799133,0.0014644734859466553,0.0005134692192077637,5,808.390287399292
1487352,342.4463240160202,0.0003820738792419434,0.000985602855682373,6,663.1932835578918,0.001735853910446167,0.0006856660842895507,5,1260.147473335266
1887391,370.74492484338134,0.0005280096530914306,0.0010578155517578125,6,1018.8186635971069,0.0022606284618377688,0.000936187744140625,5,2196.0057673454285
2395026,401.38209817807046,0.0006872334480285644,0.0011682181358337403,6,1590.6001372337341,0.0013783144950866699,0.0005217432975769043,6,1611.2270267009735
3039195,434.5510230823078,0.0008813657760620117,0.0012654173374176026,6,2481.222956418991,0.0015694668292999267,0.0006436679363250732,6,2645.970939874649
3856620,470.4609029329341,0.0011364505290985107,0.0014409582614898682,6,3902.886129140854,0.0018137197494506837,0.0007947478294372559,6,3907.4338829517365
4893900,509.33824204370427,0.0014951653480529785,0.0016698553562164307,6,6106.476938724518,0.00218725848197937,0.0009844024181365966,6,6113.721627235413
6210169,551.4283129012158,0.001889540433883667,0.0019129183292388916,6,9631.348042726517,0.0026309452056884767,0.0012518088817596435,6,9653.03987789154
7880462,596.9965404713541,0.0007073705196380616,0.0013886427879333497,7,6211.70464682579,0.0031977508068084717,0.0015315191745758057,6,15433.729895353317
