N,e,local_propose,local_accept,local_R,local_time
10000,64.6330407009565,5.699443817138672e-05,0.00023261642456054687,3,1.769002914428711
12689,69.97298277103957,4.335522651672363e-05,0.000317457914352417,4,1.6165521144866943
16102,75.75556277156308,4.462575912475586e-05,0.0003151569366455078,4,2.1428887844085693
20433,82.01600916853565,4.693126678466797e-05,0.00031909823417663574,4,2.625838279724121
25929,88.79390937043094,4.934906959533692e-05,0.0003198978900909424,4,3.32542085647583
32903,96.13165530164527,5.2596569061279296e-05,0.00031706380844116213,4,4.172584772109985
41753,104.07597382552271,5.5711984634399414e-05,0.0003218753337860107,4,5.406299114227295
52983,112.67652287446205,6.067061424255371e-05,0.0003251969814300537,4,6.946208477020264
67233,121.98752447904248,6.561756134033204e-05,0.0003274710178375244,4,8.836449146270752
85316,132.06814663058762,7.071661949157716e-05,0.00032725334167480467,4,11.20867109298706
108263,142.98196913512925,4.952287673950195e-05,0.00040667176246643065,5,18.59738063812256
137382,154.7977104402667,5.211639404296875e-05,0.00041406798362731936,5,23.624788999557495
174332,167.5895592936327,5.5943727493286135e-05,0.00040990018844604494,5,29.89772319793701
221221,181.43874717437893,5.955076217651367e-05,0.00041212844848632815,5,38.0802059173584
280721,196.43229413802612,6.52463436126709e-05,0.00041350197792053224,5,48.983312129974365
356224,212.6648170006915,7.170414924621583e-05,0.00041483283042907714,5,62.823002576828
452035,230.23885080073825,7.641363143920899e-05,0.00041832637786865234,5,80.67991089820862
573615,249.2650682852571,9.085869789123535e-05,0.0004533376693725586,5,105.28495144844055
727895,269.86351126159275,0.00012008571624755859,0.0004639112949371338,5,140.14446926116943
923670,292.1641114758984,6.457424163818359e-05,0.0005351252555847168,6,231.8133189678192
1172102,316.30767048592065,7.201933860778809e-05,0.0005359811782836915,6,296.2187850475311
1487352,342.4463240160202,8.277773857116699e-05,0.0005356926918029786,6,382.83177518844604
1887391,370.74492484338134,9.610700607299804e-05,0.0005372567176818848,6,489.00151658058167
2395026,401.38209817807046,0.00011171722412109376,0.0005424761772155762,6,633.5923614501953
3039195,434.5510230823078,0.00012756490707397462,0.0005435428619384766,6,824.0851516723633
3856620,470.4609029329341,0.00015715599060058593,0.0005480842590332031,6,1078.6483676433563
4893900,509.33824204370427,0.0001881694793701172,0.0005525579452514648,6,1415.9647138118744
6210169,551.4283129012158,0.0002309269905090332,0.000558743953704834,6,1887.8912000656128
7880462,596.9965404713541,8.392763137817382e-05,0.0006704738140106201,7,2709.6840028762817
10000000,646.330407009565,9.337902069091797e-05,0.0006709833145141602,7,3439.074714422226
