N,ns,L,n_levels,te_3,tu_3,te_6,tu_6,te_9,tu_9
1000,50,29.999999674644798,3,5.880350300000017e-6,2.612654000000057e-7,7.986808300000013e-6,1.3830163000001658e-6,1.535914839999997e-5,5.174755499999857e-6
2000,200,37.797631086924326,3,8.843675599999937e-6,3.1149319999998757e-7,1.0705348399999951e-5,1.3983877000002074e-6,1.8634332099999906e-5,5.442350099999977e-6
4000,200,47.62203104257679,3,1.3941203100000043e-5,3.2536389999999625e-7,1.6067863800000092e-5,1.423605100000149e-6,2.478855179999989e-5,5.754546400000013e-6
8000,200,59.999999349289595,3,2.1897604599999992e-5,3.309719000000135e-7,2.4337848399999885e-5,1.5287369999998226e-6,3.4285011900000124e-5,6.096002400000026e-6
16000,200,75.59526217384865,4,2.9970747999999965e-5,4.6725422400000134e-5,3.906720940000017e-5,0.0002935722120000019,8.067622810000039e-5,0.0009915162329999993
32000,200,95.24406208515359,4,3.7189238200000115e-5,4.997992790000001e-5,4.845931209999982e-5,0.00029529064589999996,9.173677769999981e-5,0.0009958986327000007
64000,200,119.99999869857918,4,4.944407049999965e-5,4.954527519999999e-5,6.062494130000009e-5,0.0002961810659000002,0.00010383856149999994,0.0009947162038999962
128000,200,151.1905243476973,5,4.4211009499999956e-5,0.00012113325770000024,7.038646080000003e-5,0.0007821842804999978,0.00016319326410000026,0.002737900319999999
256000,200,190.48812417030715,5,5.245317349999994e-5,0.00012186374469999985,7.746467290000009e-5,0.0007740293811999996,0.00017056473719999948,0.002753678459899992
512000,200,239.99999739715835,5,6.0767413999999765e-5,0.00011671944229999969,8.61860287000002e-5,0.0007318833510000011,0.00017337028189999917,0.002527858652599996
1024000,200,302.38104869539455,6,7.631527200000016e-5,0.0002060820885999993,0.00010327011350000035,0.0011505896927999982,0.00023974306459999975,0.004289116692200002
2048000,200,380.9762483406143,6,7.657202139999991e-5,0.00020219415240000003,0.00011765993979999967,0.0011677164705999994,0.00026022477360000045,0.004480722673599984
